연도,지역,원본행,세부사업명,원자료_당해예산,정제본_당해예산,원자료_전년도예산,정제본_전년도예산,wide_long_일치,인접행_예산일치,위험등급,자동검출사유,사람검토결과,조치내용,원자료_근거
2016,경기,3166,,2774616.0,4363727.0,3343332.0,5734336.0,True,False,구조 오류,원본 Excel과 필터링전 예산 차이,최종 wide 제외 구조행,수정 없음,정리본_자동 시트 동일 지역·원본행 및 연도별 생성 노트북
2016,경기,3177,소계,1397643.0,2380762.0,2052927.0,3839581.0,True,False,구조 오류,원본 Excel과 필터링전 예산 차이,최종 wide 제외 구조행,수정 없음,정리본_자동 시트 동일 지역·원본행 및 연도별 생성 노트북
2016,광주,1641,,333171.0,464532.0,325820.0,456307.0,True,False,구조 오류,원본 Excel과 필터링전 예산 차이,최종 wide 제외 구조행,수정 없음,정리본_자동 시트 동일 지역·원본행 및 연도별 생성 노트북
2016,광주,1644,,230853.0,324012.0,229801.0,318548.0,True,False,구조 오류,원본 Excel과 필터링전 예산 차이,최종 wide 제외 구조행,수정 없음,정리본_자동 시트 동일 지역·원본행 및 연도별 생성 노트북
2016,대전,2160,"총 계(230개 과제) (공통 88, 자체 142)",408077.0,774605.0,435652.0,850119.0,True,False,구조 오류,원본 Excel과 필터링전 예산 차이,최종 wide 제외 구조행,수정 없음,정리본_자동 시트 동일 지역·원본행 및 연도별 생성 노트북
2016,전북,5286,,519979.0,635756.0,516057.0,669049.0,True,False,구조 오류,원본 Excel과 필터링전 예산 차이,최종 wide 제외 구조행,수정 없음,정리본_자동 시트 동일 지역·원본행 및 연도별 생성 노트북
2017,광주,2659,공통사업 합계,510560.0,728189.0,481638.0,680131.0,True,False,구조 오류,원본 Excel과 필터링전 예산 차이,최종 wide 제외 구조행,수정 없음,정리본_자동 시트 동일 지역·원본행 및 연도별 생성 노트북
2017,광주,3132,"광역정신건강증진센터,열린 마음상담센터",8080.0,10660.0,8080.0,10660.0,True,False,정상 변환,원본 Excel과 필터링전 예산 차이,2017 광주 재원행 국비+지방비 합산,수정 없음,정리본_자동 시트 동일 지역·원본행 및 연도별 생성 노트북
2017,대전,3574,"총 계(236개 과제) (공통과제 77,
자체과제 159)",431073.2,935221.2,416296.2,920212.2,True,False,구조 오류,원본 Excel과 필터링전 예산 차이,최종 wide 제외 구조행,수정 없음,정리본_자동 시트 동일 지역·원본행 및 연도별 생성 노트북
2018,광주,2075,공통사업 (저출산+고령사회),1717121.0,3018083.0,1401251.0,1948840.0,True,False,구조 오류,원본 Excel과 필터링전 예산 차이,최종 wide 제외 구조행,수정 없음,정리본_자동 시트 동일 지역·원본행 및 연도별 생성 노트북
2018,광주,2402,3.저출산 고령사회 대응기반 강화(공통사업),1505.0,2485.0,1422.0,2268.0,True,False,구조 오류,원본 Excel과 필터링전 예산 차이,최종 wide 제외 구조행,수정 없음,정리본_자동 시트 동일 지역·원본행 및 연도별 생성 노트북
2018,대전,2674,"총 계(263개 과제)
(공통과제 88, 자체과제 175)",483466.0,997695.9,440901.7,932866.5,True,False,구조 오류,원본 Excel과 필터링전 예산 차이,최종 wide 제외 구조행,수정 없음,정리본_자동 시트 동일 지역·원본행 및 연도별 생성 노트북
2022,경기,3044,(경기도･경기도교육청),,,(경기도･경기도교육청),,True,False,구조 오류,필터링전에서 세부사업으로 분류됐으나 wide에서 제외,지역·교육청 제목 또는 합계 제목,수정 없음,필터링전 전체원본의 사업명·후보판정
2022,서울,28,위한 안전망 구축,,,,,True,False,구조 오류,필터링전에서 세부사업으로 분류됐으나 wide에서 제외,지역·교육청 제목 또는 합계 제목,수정 없음,필터링전 전체원본의 사업명·후보판정
2022,울산,2597,(울산광역시･울산광역시교육청),,,(울산광역시･울산광역시교육청),,True,False,구조 오류,필터링전에서 세부사업으로 분류됐으나 wide에서 제외,지역·교육청 제목 또는 합계 제목,수정 없음,필터링전 전체원본의 사업명·후보판정
2022,인천,1505,합계(공통사업+자체사업),4451688.0,,4162635,,True,False,구조 오류,필터링전에서 세부사업으로 분류됐으나 wide에서 제외,지역·교육청 제목 또는 합계 제목,수정 없음,필터링전 전체원본의 사업명·후보판정
2022,전남,7112,(전라남도･전라남도교육청),,,(전라남도･전라남도교육청),,True,False,구조 오류,필터링전에서 세부사업으로 분류됐으나 wide에서 제외,지역·교육청 제목 또는 합계 제목,수정 없음,필터링전 전체원본의 사업명·후보판정
2022,전북,6521,(전라북도･전라북도교육청),,,(전라북도･전라북도교육청),,True,False,구조 오류,필터링전에서 세부사업으로 분류됐으나 wide에서 제외,지역·교육청 제목 또는 합계 제목,수정 없음,필터링전 전체원본의 사업명·후보판정
2022,충남,5792,(충청남도･충청남도교육청),,,(충청남도･충청남도교육청),,True,False,구조 오류,필터링전에서 세부사업으로 분류됐으나 wide에서 제외,지역·교육청 제목 또는 합계 제목,수정 없음,필터링전 전체원본의 사업명·후보판정
2022,충북,5199,(충청북도･충청북도교육청),,,(충청북도･충청북도교육청),,True,False,구조 오류,필터링전에서 세부사업으로 분류됐으나 wide에서 제외,지역·교육청 제목 또는 합계 제목,수정 없음,필터링전 전체원본의 사업명·후보판정
